app_package,review,rating,votes,date,uid,formated_date,unix_timestamp,app_category
com.cleverapps.heroes,It's really a fun game,5,1,"October 21, 2018",shqoc6X1fcJRLEmx,2018-10-21,1540094400.0,Casual
com.bodyfast,uninstalling. it was ok but felt like it was controlling the hours and especially how many days you would fast. not best for creating your own and tracking progress.,2,0,"January 18, 2019",shqoc6X1fcJRLEmx,2019-01-18,1547787600.0,Health & Fitness
com.thrivegames.wordshapes,Love this game,4,1,"January 16, 2021",shqoc6X1fcJRLEmx,2021-01-16,1610773200.0,Word
com.affinity.rewarded_play,Doesn't update play time. Just downloaded it 3 days ago and won't give credit for the game I play the most to earn the first $5 card.,1,1,"November 4, 2021",shqoc6X1fcJRLEmx,2021-11-04,1635998400.0,Entertainment
dating.inmessage.net,app crashes every time I try to log in. what gives.,1,0,"November 24, 2021",shqoc6X1fcJRLEmx,2021-11-24,1637730000.0,Dating
com.kingsoopers.mobile,We are having technical difficulties try it in a few moment-- I see this consistently when I shop. How then can I check my coupons to buy the products this needs to be fixed immediately. It has improved dramatically with a new update and I no longer see constant system errors when shopping.,4,1,"March 20, 2015",smlNgCSD1z66dtpP,2015-03-20,1426824000.0,Shopping
org.inaturalist.android,Good one.,4,0,"March 28, 2015",smlNgCSD1z66dtpP,2015-03-28,1427515200.0,Education
via.driver,The best service.,5,0,"May 9, 2017",smlNgCSD1z66dtpP,2017-05-09,1494302400.0,Business
com.outfit7.mytalkingangelafree,I really love your updated version. it's. better than before. you can have free items. like clothes and new skin. but my only concern in this game is. i can't save the photo's of angela's photo shoot. but over all. the game was fantastic. and also the graphic.,5,718,"August 3, 2019",smlNgCSD1z66dtpP,2019-08-03,1564804800.0,Casual
com.kasindev.skintools.mod_ff,free fire is time pass in game,5,2,"May 8, 2021",smlNgCSD1z66dtpP,2021-05-08,1620446400.0,Libraries & Demo
com.myfitnesspal.android,No security wat h your info,2,0,"January 9, 2022",smlNgCSD1z66dtpP,2022-01-09,1641704400.0,Health & Fitness
com.wunderground.android.weather,"Used to be the best weather app. But after the last update it's been useless for me as it often crashes and has huge add displays that are heard to avoid accidentally hitting. I have a PWS and served as a beta tester and well as provide data to Weather Underground. I've sent in the crash report and emailed my issue to no avail. So, the time seems to have to to part ways. So sad...",1,9,"January 18, 2020",smnwlsh9CjgHk8Ul,2020-01-18,1579323600.0,Weather
com.cookapps.wonder.merge.dragon.magic.evolution.merging.wondermerge,"The character designs are sooooo cute but everything else just feels so lifeless... the game feels cheap with it's over the top and loud sound effects as well as it's undynamic sprites. Another thing is that you have to wait WAYYYYY too long for another level to appear or for your pets to wake up! If you cant change the design that's fine, but at LEAST make the wait times shorter! Oh also everything is too expensive in every category. Pearl's, coins, even gems, not worth paying for.",1,19,"October 22, 2020",smnwlsh9CjgHk8Ul,2020-10-22,1603339200.0,Puzzle
com.unvoid.borealis,"The best icon pack! Covers so many icons, and look amazing! Constantly up to date! Perfection!",5,0,"January 10, 2021",smnwlsh9CjgHk8Ul,2021-01-10,1610254800.0,Personalization
com.beachbody.bod,"Many different options for workouts. I started using this app just before the pandemic at the gym at work, listening through Bluetooth headphones. During the pandemic lockdowns I could work out at home - casting the video on the TV. I enjoy the variety, and versatility, although I wish there were more low impact, high intensity Cardio workouts that appeared within the Strength/Cardio workout programs.",4,9,"September 25, 2021",smnwlsh9CjgHk8Ul,2021-09-25,1632542400.0,Health & Fitness
com.playhardlab.herofactory,Very good but the fary is a bit annoying,4,0,"April 2, 2022",smnwlsh9CjgHk8Ul,2022-04-02,1648872000.0,Simulation
com.roadwarrior.android,The app for the most part is great. But sometimes it freezes. Does anybody have any tips on how to fix that? Thanx,4,0,"March 4, 2018",snCCzP0FvzSb0p8A,2018-03-04,1520139600.0,Maps & Navigation
com.jumpgames.RealSteel,Bad game ever I want my money back,1,0,"October 10, 2019",snCCzP0FvzSb0p8A,2019-10-10,1570680000.0,Action
com.szckhd.jwgly.azyw,Problem resolved.,4,2,"July 29, 2020",snCCzP0FvzSb0p8A,2020-07-29,1595995200.0,Role Playing
com.netgear.netgearup,Can't get the program to work. It's says I'm connected to wifi 26 and for it to work correctly I need to connect to wifi 26. Well I am and it still will not connect to nighthawk.,1,2,"January 23, 2022",snCCzP0FvzSb0p8A,2022-01-23,1642914000.0,Productivity
com.koplagames.kopla01,Awesome,5,0,"March 1, 2022",snCCzP0FvzSb0p8A,2022-03-01,1646110800.0,Role Playing
com.ziau.sharkworld,Ok,1,0,"October 26, 2020",soeU1CubZLOGkXfJ,2020-10-26,1603684800.0,Role Playing
com.eamobile.nbajam_na_wf,I bought the game and my phone ain't even capable to use it,1,1,"February 5, 2021",soeU1CubZLOGkXfJ,2021-02-05,1612501200.0,Sports
com.google.android.apps.googlevoice,"I would like it a lot better if I could take a pic and include it within a text message, like I did in Google Hangouts, without having to first save it as a file.",4,2,"November 11, 2021",soeU1CubZLOGkXfJ,2021-11-11,1636606800.0,Communication
